,Year,SLCP,CO2fe
0,0,1.0,1.0
1,1,0.0,-0.0380541797583104
2,2,0.0,-0.041911108107477
3,3,0.0,-0.0442025626592443
4,4,0.0,-0.0452691080563746
5,5,0.0,-0.0453886624147769
6,6,0.0,-0.044787186687606
7,7,0.0,-0.0436476221641343
8,8,0.0,-0.0421173565037889
9,9,0.0,-0.0403144544759935
10,10,0.0,-0.0383328522588217
11,11,0.0,-0.0362466826702276
12,12,0.0,-0.034113872157235
13,13,0.0,-0.0319791279838066
14,14,0.0,-0.0298764151889348
15,15,0.0,-0.0278310069849193
16,16,0.0,-0.0258611788689759
17,17,0.0,-0.0239796054381529
18,18,0.0,-0.0221945093976512
19,19,0.0,-0.0205106042570327
20,20,0.0,-0.0189298654817614
21,21,0.0,-0.0174521592100958
22,22,0.0,-0.0160757528894904
23,23,0.0,-0.0147977281906021
24,24,0.0,-0.0136143132009407
25,25,0.0,-0.012521148083273
26,26,0.0,-0.0115134960207394
27,27,0.0,-0.0105864092894704
28,28,0.0,-0.00973485863967616
29,29,0.0,-0.00895383277655445
30,30,0.0,-0.00823841356993483
31,31,0.0,-0.00758383164996489
32,32,0.0,-0.00698550623482409
33,33,0.0,-0.00643907235963811
34,34,0.0,-0.00594039811180054
35,35,0.0,-0.00548559400852106
36,36,0.0,-0.00507101626228381
37,37,0.0,-0.0046932653560933
38,38,0.0,-0.00434918108205883
39,39,0.0,-0.00403583497492089
40,40,0.0,-0.0037505208888808
41,41,0.0,-0.00349074431514884
42,42,0.0,-0.00325421091358917
43,43,0.0,-0.00303881463017567
44,44,0.0,-0.00284262568893432
45,45,0.0,-0.00266387867942657
46,46,0.0,-0.00250096090601478
47,47,0.0,-0.00235240112090103
48,48,0.0,-0.00221685872742028
49,49,0.0,-0.00209311351174276
50,50,0.0,-0.00198005593872053
51,51,0.0,-0.0018766780300352
52,52,0.0,-0.00178206482916788
53,53,0.0,-0.00169538644730257
54,54,0.0,-0.00161589067646111
55,55,0.0,-0.00154289615045721
56,56,0.0,-0.0014757860302351
57,57,0.0,-0.00141400218747702
58,58,0.0,-0.00135703985873934
59,59,0.0,-0.00130444274159449
60,60,0.0,-0.00125579850410812
61,61,0.0,-0.00121073467932452
62,62,0.0,-0.00116891491714891
63,63,0.0,-0.00113003556699056
64,64,0.0,-0.00109382256570545
65,65,0.0,-0.00106002860664991
66,66,0.0,-0.00102843056704475
67,67,0.0,-0.000998827172219407
68,68,0.0,-0.000971036876726703
69,69,0.0,-0.000944895943689379
70,70,0.0,-0.000920256705085992
71,71,0.0,-0.000896985986976439
72,72,0.0,-0.000874963684910768
73,73,0.0,-0.000854081475927708
74,74,0.0,-0.00083424165466612
75,75,0.0,-0.00081535608214005
76,76,0.0,-0.000797345236708236
77,77,0.0,-0.000780137357659719
78,78,0.0,-0.000763667672685343
79,79,0.0,-0.0007478777012673
80,80,0.0,-0.000732714626741414
81,81,0.0,-0.000718130730441647
82,82,0.0,-0.000704082881932335
83,83,0.0,-0.000690532079900829
84,84,0.0,-0.000677443038772144
85,85,0.0,-0.000664783816585382
86,86,0.0,-0.0006525254800807
87,87,0.0,-0.000640641803338845
88,88,0.0,-0.000629108996660802
89,89,0.0,-0.000617905462693534
90,90,0.0,-0.000607011577097465
91,91,0.0,-0.000596409491316549
92,92,0.0,-0.000586082955240753
93,93,0.0,-0.000576017157778241
94,94,0.0,-0.000566198583540469
95,95,0.0,-0.000556614884023119
96,96,0.0,-0.000547254761826768
97,97,0.0,-0.000538107866604095
98,98,0.0,-0.000529164701549328
99,99,0.0,-0.000520416539368207
100,100,0.0,-0.000511855346767441
101,101,0.0,-0.000503473716600542
102,102,0.0,-0.000495264806898063
103,103,0.0,-0.000487222286077095
104,104,0.0,-0.00047934028370935
105,105,0.0,-0.000471613346277625
106,106,0.0,-0.000464036397414625
107,107,0.0,-0.000456604702170483
108,108,0.0,-0.000449313834892935
109,109,0.0,-0.000442159650357991
110,110,0.0,-0.000435138257814221
111,111,0.0,-0.000428245997647639
112,112,0.0,-0.000421479420396378
113,113,0.0,-0.000414835267877848
114,114,0.0,-0.000408310456209381
115,115,0.0,-0.000401902060532724
116,116,0.0,-0.000395607301265962
117,117,0.0,-0.000389423531725481
118,118,0.0,-0.000383348226982261
119,119,0.0,-0.000377378973821324
120,120,0.0,-0.000371513461696052
121,121,0.0,-0.000365749474572209
122,122,0.0,-0.000360084883572523
123,123,0.0,-0.000354517640341639
124,124,0.0,-0.000349045771053054
125,125,0.0,-0.000343667370998945
126,126,0.0,-0.000338380599698128
127,127,0.0,-0.00033318367647228
128,128,0.0,-0.000328074876441665
129,129,0.0,-0.000323052526898907
130,130,0.0,-0.000318115004020373
131,131,0.0,-0.000313260729882965
132,132,0.0,-0.0003084881697546
133,133,0.0,-0.000303795829629813
134,134,0.0,-0.00029918225398812
135,135,0.0,-0.00029464602374938
136,136,0.0,-0.000290185754409815
137,137,0.0,-0.000285800094338195
138,138,0.0,-0.000281487723216482
139,139,0.0,-0.000277247350612204
140,140,0.0,-0.000273077714667055
141,141,0.0,-0.000268977580891709
142,142,0.0,-0.000264945741056316
143,143,0.0,-0.000260981012167581
144,144,0.0,-0.000257082235521342
145,145,0.0,-0.000253248275827823
146,146,0.0,-0.000249478020398476
147,147,0.0,-0.000245770378390202
148,148,0.0,-0.000242124280102896
149,149,0.0,-0.000238538676320799
150,150,0.0,-0.000235012537699257
151,151,0.0,-0.000231544854188318
152,152,0.0,-0.00022813463449179
153,153,0.0,-0.000224780905557259
154,154,0.0,-0.000221482712096271
155,155,0.0,-0.000218239116129708
156,156,0.0,-0.000215049196556419
157,157,0.0,-0.000211912048746617
